version,algorithm,key_size,design,asic_node_nm,asic_area_mm2,asic_clk_mhz,asic_throughput_gbps,asic_latency_cycles,asic_area_efficiency_gbps_mm2,fpga_platform,fpga_fmax_mhz,fpga_luts
v1,AES,128,Pipeline,45,0.109,881,113,10,1035,ECP5,54.66,38033
v1,AES,128,Pipeline GF,45,0.052,671,86,10,1652,ECP5,64.37,24426
v1,AES,128,Iterative,45,0.033,293,3.8,10,114,ECP5,79.43,5925
v1,AES,128,Iterative GF,45,0.016,309,4.0,10,247,ECP5,67.76,5306
v1,AES,128,Partial Unrolled,45,0.040,284,7.3,5,182,ECP5,50.16,11469
v1,AES,128,Partial Unrolled GF,45,0.022,220,5.6,5,256,ECP5,36.05,9872
v1,AES,192,Pipeline,45,0.130,886,113,12,872,ECP5,57.72,45247
v1,AES,192,Pipeline GF,45,0.064,671,86,12,1342,ECP5,62.80,30302
v1,AES,192,Iterative,45,0.029,523,5.6,12,192,ECP5,83.82,5788
v1,AES,192,Iterative GF,45,0.017,512,5.5,12,321,ECP5,67.91,5263
v1,AES,192,Partial Unrolled,45,0.045,284,6.1,6,135,ECP5,50.23,13048
v1,AES,192,Partial Unrolled GF,45,0.025,221,4.7,6,189,ECP5,35.67,9898
v1,AES,256,Pipeline,45,0.150,883,113,14,753,ECP5,50.76,51040
v1,AES,256,Pipeline GF,45,0.073,666,85,14,1168,ECP5,60.37,30505
v1,AES,256,Iterative,45,0.040,595,7.6,14,190,ECP5,78.65,4892
v1,AES,256,Iterative GF,45,0.024,591,7.6,14,315,ECP5,68.64,4401
v1,AES,256,Partial Unrolled,45,0.078,244,6.2,7,80,ECP5,51.06,10446
v1,AES,256,Partial Unrolled GF,45,0.040,214,5.5,7,137,ECP5,36.37,8909
v1,AES,512,Pipeline,45,0.218,880,113,22,517,ECP5,52.36,78007
v1,AES,512,Pipeline GF,45,0.104,662,85,22,815,ECP5,63.90,46438
v1,AES,512,Iterative,45,0.036,324,4.1,22,115,ECP5,82.40,4630
v1,AES,512,Iterative GF,45,0.022,322,4.1,22,187,ECP5,67.55,3965
v1,AES,512,Partial Unrolled,45,0.114,359,9.2,11,81,ECP5,50.89,10483
v1,AES,512,Partial Unrolled GF,45,0.059,195,5.0,11,85,ECP5,36.70,8350
v1,AES,1024,Pipeline,45,0.359,879,113,38,313,ECP5,,133619
v1,AES,1024,Pipeline GF,45,0.170,662,85,38,499,ECP5,62.87,75733
v1,AES,1024,Iterative,45,0.038,427,5.5,38,144,ECP5,81.83,4658
v1,AES,1024,Iterative GF,45,0.025,423,5.4,38,219,ECP5,70.65,4053
v1,AES,1024,Partial Unrolled,45,0.185,271,6.9,19,38,ECP5,50.45,11386
v1,AES,1024,Partial Unrolled GF,45,0.092,188,4.8,19,52,ECP5,36.00,9482
